App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Polarity,Sentiment_Subjectivity
Coloring book moana,ART_AND_DESIGN,3.9,967.0,14.0,500000,Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,0.15265151515151515,0.641540404040404
Garden Coloring Book,ART_AND_DESIGN,4.4,13791.0,33.0,1000000,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,0.2684828944203944,0.5234474150677855
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216.0,39.0,5000000,Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,0.41264880952380956,0.6792261904761905
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654.0,12.0,100000,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,0.28350877192982454,0.4792982456140351
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260.0,25.0,500000,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,0.1718359526825084,0.5727620177523428
Animated Photo Editor,ART_AND_DESIGN,4.1,203.0,6.1,100000,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,0.29185714285714287,0.5463650793650794
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035.0,11.0,100000,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,0.3609907670454546,0.5071180555555556
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015.0,11.0,100000,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,0.09945261437908497,0.5367647058823529
Floor Plan Creator,ART_AND_DESIGN,4.1,36639.0,8.95,5000000,Free,0.0,Everyone,Art & Design,"July 14, 2018",Varies with device,2.3.3 and up,0.26461547586547585,0.4655839280839281
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531.0,24.0,10000000,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,0.20483956893496366,0.5360009824483508
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774.0,17.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.24112599206349206,0.477825176366843
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431.0,2.4,100000,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,0.30857474747474745,0.49431821273964127
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090.0,27.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.29566032132549985,0.559805860222877
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920.0,16.0,10000000,Free,0.0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,0.28779230407542616,0.5447434959291718
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994.0,2.9,100000,Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,-0.13333333333333328,0.48888888888888893
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348.0,38.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,0.3076986076986077,0.5282896532896533
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372.0,16.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"August 3, 2018",Varies with device,Varies with device,0.4169514157014157,0.5583655083655084
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786.0,16.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",Varies with device,4.0.3 and up,0.4408648682441296,0.5316347888222889
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739.0,21.0,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,-0.03798581048581047,0.4216201699535033
Hairstyles step by step,BEAUTY,4.6,4369.0,14.0,100000,Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,0.47091306584362136,0.5911601019008427
Filters for Selfie,BEAUTY,4.3,8572.0,25.0,1000000,Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,0.09912037037037036,0.5278946208112875
Beauty Camera - Selfie Camera,BEAUTY,4.0,113715.0,9.2,10000000,Free,0.0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device,0.19999366181657846,0.4508201058201058
Filters for B Live,BEAUTY,4.4,2280.0,24.0,500000,Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,0.16801767676767676,0.39555555555555555
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473.0,8.2,100000,Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,0.4306034482758621,0.5574667031563583
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080.0,7.4,100000000,Free,0.0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device,0.06519186713433872,0.46011748819829623
